Boro,street,fromSt,avg_vol,lat,lon,geometry
Bronx,EAST 170 STREET,Morris Avenue,58.322916666666664,40.8379609,-73.91134439999999,POINT (-73.91134439999999 40.8379609)
Bronx,EAST 174 ST BRIDGE,Bronx River Shoreline,81.52535760728219,40.8148483,-73.8682814,POINT (-73.8682814 40.8148483)
Bronx,EAST 174 ST BRIDGE,Dead End,85.90763111373012,40.8374083,-73.8877819,POINT (-73.8877819 40.8374083)
Bronx,EAST 174 STREET,AMTRAK RR,74.55278497409327,40.8374083,-73.8877819,POINT (-73.8877819 40.8374083)
Bronx,EAST 175 STREET,Cross Bronx Expwy Et 3 Wb,20.34375,40.8441854,-73.8974361,POINT (-73.8974361 40.8441854)
Bronx,EAST 179 STREET,Bronx Street,3.6339285714285716,40.8474708,-73.8913441,POINT (-73.8913441 40.8474708)
Bronx,EAST 180 STREET,Tiebout Avenue,51.46577380952381,40.8522475,-73.8992798,POINT (-73.8992798 40.8522475)
Bronx,EAST 187 STREET,Marion Avenue,6.197916666666667,40.8594378,-73.89470159999999,POINT (-73.89470159999999 40.8594378)
Bronx,EAST 187 STREET,Webster Avenue,6.027777777777778,40.8587861,-73.893956,POINT (-73.893956 40.8587861)
Bronx,EAST 220 STREET,Barnes Avenue,17.727678571428573,40.8833718,-73.8595567,POINT (-73.8595567 40.8833718)
Bronx,EAST 221 STREET,Dead end,3.0,40.8831462,-73.8562285,POINT (-73.8562285 40.8831462)
